Band Value,elevation Count
360,1
368,
376,
384,
392,
400,
408,
416,
424,1
432,
440,
448,
456,
464,
472,
480,
488,
496,
504,
512,1
520,
528,
536,
544,1
552,
560,1
568,
576,
584,
592,
600,
608,
616,
624,
632,1
640,
648,
656,
664,
672,
680,
688,
696,
704,1
712,
720,
728,
736,1
744,
752,1
760,1
768,
776,
784,1
792,
800,
808,1
816,
824,2
832,
840,
848,
856,
864,
872,
880,
888,
896,
904,
912,1
920,
928,
936,
944,1
952,
960,
968,
976,1
984,2
992,1
"1,000",
"1,008",1
"1,016",
"1,024",1
"1,032",1
"1,040",1
"1,048",1
"1,056",
"1,064",
"1,072",
"1,080",
"1,088",
"1,096",
"1,104",
"1,112",
"1,120",
"1,128",1
"1,136",1
"1,144",3
"1,152",
"1,160",
"1,168",
"1,176",
"1,184",
"1,192",
"1,200",
"1,208",
"1,216",
"1,224",
"1,232",1
"1,240",1
"1,248",1
"1,256",
"1,264",
"1,272",1
"1,280",
"1,288",
"1,296",1
"1,304",2
"1,312",
"1,320",1
"1,328",1
"1,336",
"1,344",
"1,352",
"1,360",
"1,368",
"1,376",
"1,384",
"1,392",
"1,400",
"1,408",
"1,416",
"1,424",
"1,432",
"1,440",
"1,448",
"1,456",
"1,464",
"1,472",
"1,480",
"1,488",
"1,496",
"1,504",
"1,512",
"1,520",
"1,528",1
"1,536",
"1,544",
"1,552",
"1,560",
"1,568",
"1,576",
"1,584",
"1,592",
"1,600",
"1,608",
"1,616",
"1,624",
"1,632",
"1,640",
"1,648",
"1,656",
"1,664",
"1,672",
"1,680",
"1,688",
"1,696",
"1,704",
"1,712",
"1,720",
"1,728",
"1,736",
"1,744",
"1,752",
"1,760",
"1,768",
"1,776",
"1,784",
"1,792",
"1,800",
"1,808",
"1,816",
"1,824",
"1,832",
"1,840",
"1,848",
"1,856",
"1,864",
"1,872",
"1,880",
"1,888",1
